title,img,level,rating_num,inq
辩护人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,46,9.2,电影的现实意义大过电影本身。
窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,47,9.1,别样人生。
死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p502437344.jpg,48,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
何以为家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,49,9.1,凝视卑弱生命，用电影改变命运。
两杆大烟枪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,50,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
指环王2：双塔奇兵,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,51,9.0,承前启后的史诗篇章。
飞越疯人院,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,52,9.1,自由万岁。
教父2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,53,9.2,优雅的孤独。
狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,54,9.0,动物版《哈姆雷特》。
指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,55,9.0,传说的开始。
V字仇杀队,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,56,8.9,一张面具背后的理想与革命。
美丽心灵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,57,9.0,爱是一切逻辑和原由。
饮食男女,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,58,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
大闹天宫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,59,9.3,经典之作，历久弥新。
哈利·波特与魔法石,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,60,8.9,童话世界的开端。
海豚湾,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,61,9.3,海豚的微笑，是世界上最高明的伪装。
钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,62,9.1,音乐能化解仇恨。
本杰明·巴顿奇事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,63,8.9,在时间之河里感受溺水之苦。
情书,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,64,8.9,暗恋的极致。
黑客帝国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,65,8.9,视觉革命。
看不见的客人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,66,8.8,你以为你以为的就是你以为的。
让子弹飞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,67,8.8,你给我翻译翻译，神马叫做TMD的惊喜。
西西里的美丽传说,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,68,8.8,美丽无罪。
小鞋子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg,69,9.2,奔跑的孩子是天使。
拯救大兵瑞恩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,70,9.0,美利坚精神输出大片No1.
猫鼠游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,71,8.9,骗子大师和执著警探的你追我跑故事。 
美国往事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,72,9.2,往事如烟，无处祭奠。
音乐之声,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,73,9.0,用音乐化解仇恨，让歌声串起美好。
致命魔术,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,74,8.8,孪生蝙蝠侠大战克隆金刚狼。
七宗罪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,75,8.8,警察抓小偷，老鼠玩死猫。
低俗小说,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,76,8.8,故事的高级讲法。
被嫌弃的松子的一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,77,8.9,以戏谑来戏谑戏谑。
我不是药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,78,9.0,对我们国家而言，这样的电影多一部是一部。
穿条纹睡衣的男孩,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,79,9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
沉默的羔羊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,80,8.8,安东尼·霍普金斯的顶级表演。
蝴蝶效应,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1863330956.jpg,81,8.8,人的命运被自己瞬间的抉择改变。
春光乍泄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,82,8.9,爱情纠缠，男女一致。
心灵捕手,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,83,8.9,人生中应该拥有这样的一段豁然开朗。
勇敢的心,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,84,8.9,史诗大片的典范。
禁闭岛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,85,8.8,昔日翩翩少年，今日大腹便便。
天使爱美丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,86,8.7,法式小清新。 
剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,87,8.7,浪漫忧郁的成人童话。
布达佩斯大饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,88,8.8,小清新的故事里注入了大历史的情怀。
阿凡达,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,89,8.7,绝对意义上的美轮美奂。
摩登时代,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,90,9.3,大时代中的人生，小人物的悲喜。
加勒比海盗,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,91,8.7,约翰尼·德普的独角戏。
幽灵公主,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,92,8.9,人与自然的战争史诗。
入殓师,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,93,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
致命ID,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,94,8.8,最不可能的那个人永远是最可能的。
断背山,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,95,8.8,每个人心中都有一座断背山。
阳光灿烂的日子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,96,8.8,一场华丽的意淫。
喜剧之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,97,8.7,我是一个演员。
重庆森林,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,98,8.7,寂寞没有期限。
第六感,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,99,8.8,深入内心的恐怖，出人意料的结局。
狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,100,9.1,人言可畏。
玛丽和马克思,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,101,8.9,你是我最好的朋友，你是我唯一的朋友 。
消失的爱人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,102,8.7,年度最佳date movie。
杀人回忆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg,103,8.8,关于连环杀人悬案的集体回忆。
小森林 夏秋篇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,104,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
海蒂和爷爷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,105,9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
告白,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,106,8.7,没有一人完全善，也没有一人完全恶。
请以你的名字呼唤我,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,107,8.8,沉醉在电影的情感和视听氛围中无法自拔。
大鱼,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,108,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
一一,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,109,9.0,我们都曾经是一一。
爱在黎明破晓前,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,110,8.8,缘分是个连绵词，最美不过一瞬。
